"","fold","cvsplit","dimred","learner_id","auc","cell_selection","Model_training_phase","learner"
"118","fold1","CVsplit3","corrgpca","learner18",0.888888888888889,"all_cells","validation",NA
"119","fold1","CVsplit3","corrgpca","learner19",0.777777777777778,"all_cells","validation",NA
"120","fold1","CVsplit3","corrgpca","learner20",0.888888888888889,"all_cells","validation",NA
"121","fold1","CVsplit3","corrgpca","learner21",0.888888888888889,"all_cells","validation",NA
"122","fold1","CVsplit3","corrgpca","learner22",0.888888888888889,"all_cells","validation",NA
"123","fold1","CVsplit3","corrgpca","learner23",0.888888888888889,"all_cells","validation",NA
"124","fold1","CVsplit3","corrgpca","learner24",0.777777777777778,"all_cells","validation",NA
"125","fold1","CVsplit3","corrgpca","learner25",0.777777777777778,"all_cells","validation",NA
"126","fold1","CVsplit3","corrgpca","learner26",0.777777777777778,"all_cells","validation",NA
"127","fold1","CVsplit3","corrgpca","learner27",0.777777777777778,"all_cells","validation",NA
"128","fold1","CVsplit3","corrgpca","learner28",0.777777777777778,"all_cells","validation",NA
"129","fold1","CVsplit3","corrgpca","learner29",0.888888888888889,"all_cells","validation",NA
"130","fold1","CVsplit3","corrgpca","learner30",0.777777777777778,"all_cells","validation",NA
"131","fold1","CVsplit3","corrgpca","learner31",0.777777777777778,"all_cells","validation",NA
"132","fold1","CVsplit3","corrgpca","learner32",0.888888888888889,"all_cells","validation",NA
"133","fold1","CVsplit3","corrgpca","learner33",0.777777777777778,"all_cells","validation",NA
"134","fold1","CVsplit3","corrgpca","learner34",0.888888888888889,"all_cells","validation",NA
"135","fold1","CVsplit3","corrgpca","learner35",0.888888888888889,"all_cells","validation",NA
"136","fold1","CVsplit3","corrgpca","learner36",0.777777777777778,"all_cells","validation",NA
"137","fold1","CVsplit3","corrgpca","learner37",0.888888888888889,"all_cells","validation",NA
"138","fold1","CVsplit3","corrgpca","learner38",0.666666666666667,"all_cells","validation",NA
"139","fold1","CVsplit3","corrgpca","learner39",0.777777777777778,"all_cells","validation",NA
"140","fold1","CVsplit3","corrgpca","learner40",0.777777777777778,"all_cells","validation",NA
"141","fold1","CVsplit3","corrgpca","learner41",0.888888888888889,"all_cells","validation",NA
"142","fold1","CVsplit3","corrgpca","learner42",0.888888888888889,"all_cells","validation",NA
"143","fold1","CVsplit3","corrgpca","learner43",0.888888888888889,"all_cells","validation",NA
"144","fold1","CVsplit3","corrgpca","learner44",0.777777777777778,"all_cells","validation",NA
"145","fold1","CVsplit3","corrgpca","learner45",0.777777777777778,"all_cells","validation",NA
"146","fold1","CVsplit3","corrgpca","learner46",0.888888888888889,"all_cells","validation",NA
"147","fold1","CVsplit3","corrgpca","learner47",0.777777777777778,"all_cells","validation",NA
"148","fold1","CVsplit3","corrgpca","learner48",0.777777777777778,"all_cells","validation",NA
"149","fold1","CVsplit3","corrgpca","learner49",0.888888888888889,"all_cells","validation",NA
"150","fold1","CVsplit3","corrgpca","learner50",0.888888888888889,"all_cells","validation",NA
"151","fold1","CVsplit4","corrgpca","learner01",0.666666666666667,"all_cells","validation",NA
"152","fold1","CVsplit4","corrgpca","learner02",0.666666666666667,"all_cells","validation",NA
"153","fold1","CVsplit4","corrgpca","learner03",0.777777777777778,"all_cells","validation",NA
"154","fold1","CVsplit4","corrgpca","learner04",0.666666666666667,"all_cells","validation",NA
"155","fold1","CVsplit4","corrgpca","learner05",0.666666666666667,"all_cells","validation",NA
"156","fold1","CVsplit4","corrgpca","learner06",0.777777777777778,"all_cells","validation",NA
"157","fold1","CVsplit4","corrgpca","learner07",0.777777777777778,"all_cells","validation",NA
"158","fold1","CVsplit4","corrgpca","learner08",0.777777777777778,"all_cells","validation",NA
"159","fold1","CVsplit4","corrgpca","learner09",0.666666666666667,"all_cells","validation",NA
"160","fold1","CVsplit4","corrgpca","learner10",0.777777777777778,"all_cells","validation",NA
"161","fold1","CVsplit4","corrgpca","learner11",0.666666666666667,"all_cells","validation",NA
"162","fold1","CVsplit4","corrgpca","learner12",0.777777777777778,"all_cells","validation",NA
"163","fold1","CVsplit4","corrgpca","learner13",0.666666666666667,"all_cells","validation",NA
"164","fold1","CVsplit4","corrgpca","learner14",0.666666666666667,"all_cells","validation",NA
"165","fold1","CVsplit4","corrgpca","learner15",0.666666666666667,"all_cells","validation",NA
"166","fold1","CVsplit4","corrgpca","learner16",0.777777777777778,"all_cells","validation",NA
"167","fold1","CVsplit4","corrgpca","learner17",0.666666666666667,"all_cells","validation",NA
"168","fold1","CVsplit4","corrgpca","learner18",0.777777777777778,"all_cells","validation",NA
"169","fold1","CVsplit4","corrgpca","learner19",0.666666666666667,"all_cells","validation",NA
"170","fold1","CVsplit4","corrgpca","learner20",0.777777777777778,"all_cells","validation",NA
"171","fold1","CVsplit4","corrgpca","learner21",0.777777777777778,"all_cells","validation",NA
"172","fold1","CVsplit4","corrgpca","learner22",0.666666666666667,"all_cells","validation",NA
"173","fold1","CVsplit4","corrgpca","learner23",0.666666666666667,"all_cells","validation",NA
"174","fold1","CVsplit4","corrgpca","learner24",0.777777777777778,"all_cells","validation",NA
"175","fold1","CVsplit4","corrgpca","learner25",0.666666666666667,"all_cells","validation",NA
"176","fold1","CVsplit4","corrgpca","learner26",0.777777777777778,"all_cells","validation",NA
"177","fold1","CVsplit4","corrgpca","learner27",0.777777777777778,"all_cells","validation",NA
