learner_uid,dimred,auc
CVsplit3_corrgpca_pca_learner05,corrGPCA + PCA,0.833333333333333
CVsplit3_pca_learner47,PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner37,corrGPCA + PCA,0.833333333333333
CVsplit2_pca_learner27,PCA,0.583333333333333
CVsplit1_pca_learner11,PCA,0.833333333333333
CVsplit1_corrgpca_learner11,corrGPCA,0.916666666666667
CVsplit3_corrgpca_pca_learner08,corrGPCA + PCA,0.833333333333333
CVsplit3_corrgpca_pca_learner49,corrGPCA + PCA,0.833333333333333
CVsplit3_corrgpca_pca_learner16,corrGPCA + PCA,0.916666666666667
CVsplit2_corrgpca_learner40,corrGPCA,0.833333333333333
CVsplit3_corrgpca_pca_learner48,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_pca_learner23,corrGPCA + PCA,0.916666666666667
CVsplit2_pca_learner14,PCA,0.583333333333333
CVsplit1_corrgpca_learner24,corrGPCA,0.916666666666667
CVsplit2_corrgpca_learner13,corrGPCA,0.833333333333333
CVsplit1_corrgpca_learner49,corrGPCA,0.916666666666667
CVsplit1_corrgpca_learner08,corrGPCA,0.916666666666667
CVsplit2_corrgpca_learner24,corrGPCA,0.916666666666667
CVsplit1_pca_learner22,PCA,0.666666666666667
CVsplit2_pca_learner09,PCA,0.666666666666667
CVsplit1_pca_learner20,PCA,0.75
CVsplit2_pca_learner47,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner12,corrGPCA + PCA,0.916666666666667
CVsplit2_corrgpca_learner28,corrGPCA,0.75
CVsplit1_corrgpca_pca_learner45,corrGPCA + PCA,0.916666666666667
CVsplit1_pca_learner07,PCA,0.75
CVsplit3_corrgpca_pca_learner26,corrGPCA + PCA,0.833333333333333
CVsplit1_corrgpca_learner13,corrGPCA,0.833333333333333
CVsplit3_pca_learner14,PCA,0.833333333333333
CVsplit2_pca_learner30,PCA,0.666666666666667
CVsplit3_pca_learner38,PCA,0.833333333333333
CVsplit2_pca_learner33,PCA,0.666666666666667
CVsplit3_pca_learner27,PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner16,corrGPCA + PCA,0.75
CVsplit2_pca_learner38,PCA,0.666666666666667
CVsplit3_corrgpca_pca_learner18,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_learner17,corrGPCA,0.583333333333333
CVsplit2_corrgpca_learner46,corrGPCA,0.75
CVsplit2_corrgpca_learner25,corrGPCA,0.833333333333333
CVsplit2_corrgpca_pca_learner17,corrGPCA + PCA,0.75
CVsplit2_pca_learner16,PCA,0.583333333333333
CVsplit2_corrgpca_learner32,corrGPCA,0.75
CVsplit3_corrgpca_pca_learner19,corrGPCA + PCA,0.833333333333333
CVsplit3_corrgpca_pca_learner33,corrGPCA + PCA,0.833333333333333
CVsplit3_corrgpca_pca_learner01,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner37,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner31,corrGPCA + PCA,0.916666666666667
CVsplit2_corrgpca_learner31,corrGPCA,0.833333333333333
